Date,Open,High,Low,Close,Adj Close,Volume
2022-01-02,17.444126,18.445990,17.105179,18.369282,18.369282,228978077
2022-01-03,18.378199,19.139950,17.956083,18.440538,18.440538,387199887
2022-01-04,18.453684,19.091429,17.777838,18.260073,18.260073,401520096
2022-01-05,18.262766,19.797966,16.598354,17.203541,17.203541,592856906
2022-01-06,17.200762,17.200762,16.200552,17.094181,17.094181,440853593
2022-01-07,17.090439,17.116858,15.351940,15.767999,15.767999,396627148
2022-01-08,15.768001,16.177074,14.629260,14.978643,14.978643,340981111
2022-01-09,14.979233,16.254871,14.892276,15.805724,15.805724,222855975
2022-01-10,15.804809,16.411304,14.789143,15.162945,15.162945,388682024
2022-01-11,15.160412,16.275126,15.058848,15.963605,15.963605,293501581
2022-01-12,15.964112,16.583368,15.964112,16.271324,16.271324,221715263
2022-01-13,16.272751,16.555656,15.477876,15.477876,15.477876,236906969
2022-01-14,15.479546,15.935014,15.214587,15.881272,15.881272,193078925
2022-01-15,15.880620,16.638315,15.771677,16.498390,16.498390,197667350
2022-01-16,16.497477,18.098913,16.333033,17.805914,17.805914,311479726
2022-01-17,17.809132,17.906090,16.317770,16.653366,16.653366,277971197
2022-01-18,16.652020,17.618761,15.679787,16.022848,16.022848,362393695
2022-01-19,16.022959,16.165058,15.220498,15.236010,15.236010,208624621
2022-01-20,15.216336,16.143902,14.468367,14.475440,14.475440,177971965
2022-01-21,14.477872,14.655863,12.431641,12.656286,12.656286,370396646
2022-01-22,12.663269,12.922565,10.627377,11.117791,11.117791,506390580
2022-01-23,11.121783,11.885398,10.913794,11.420435,11.420435,300013214
2022-01-24,11.422015,11.429326,9.627312,10.671535,10.671535,400388588
2022-01-25,10.671905,10.904307,10.405103,10.592981,10.592981,187696996
2022-01-26,10.591122,11.660281,10.418643,10.587959,10.587959,232188495
2022-01-27,10.586364,10.896895,9.963886,10.314668,10.314668,273145194
2022-01-28,10.308729,10.711923,9.924403,10.643915,10.643915,169320541
2022-01-29,10.645535,11.210368,10.601206,11.136279,11.136279,166681724
2022-01-30,11.140251,11.413210,10.685679,10.799687,10.799687,150898766
2022-01-31,10.799710,11.816320,10.356008,11.805107,11.805107,220968950
2022-02-01,11.803099,11.836136,11.091645,11.124586,11.124586,231991504
2022-02-02,11.123271,11.334827,10.465601,10.515515,10.515515,188606524
2022-02-03,10.515221,10.565751,9.999571,10.369474,10.369474,170628306
2022-02-04,10.362531,11.150554,10.346040,11.140662,11.140662,231440228
2022-02-05,11.147378,11.880371,11.140401,11.265752,11.265752,253673144
2022-02-06,11.266960,11.647915,11.105220,11.646065,11.646065,171585319
2022-02-07,11.656437,12.556049,11.420986,12.373256,12.373256,376002822
2022-02-08,12.376279,12.890332,11.548906,11.960314,11.960314,335858585
2022-02-09,11.952579,12.610105,11.676775,12.327442,12.327442,230628375
2022-02-10,12.328211,12.334909,11.426124,11.440258,11.440258,278254699
2022-02-11,11.439407,11.648031,10.451928,10.637946,10.637946,202460299
2022-02-12,10.640104,10.944847,10.466338,10.626280,10.626280,153945718
2022-02-13,10.624500,10.811156,10.295159,10.390587,10.390587,128151906
2022-02-14,10.383894,10.682054,10.160474,10.627520,10.627520,135160729
2022-02-15,10.626993,11.493017,10.619432,11.453326,11.453326,187292650
2022-02-16,11.454895,11.496960,10.825758,11.262880,11.262880,202990918
2022-02-17,11.252920,11.361406,10.281781,10.373074,10.373074,191681935
2022-02-18,10.381047,10.686540,10.071519,10.179534,10.179534,321752203
2022-02-19,10.177303,10.400782,9.818270,10.038239,10.038239,343381117
2022-02-20,10.037289,10.037289,9.251258,9.370290,9.370290,258709389
2022-02-21,9.365628,9.736632,8.552855,8.554728,8.554728,279211938
2022-02-22,8.552185,8.946275,8.217359,8.870278,8.870278,253250689
2022-02-23,8.870446,9.409790,8.747095,8.795060,8.795060,192852307
2022-02-24,8.789948,8.928304,7.588877,8.821894,8.821894,420461738
2022-02-25,8.822278,9.407938,8.497382,9.241801,9.241801,222754387
2022-02-26,9.240079,9.486714,8.995237,9.047621,9.047621,172784672
2022-02-27,9.047380,10.116178,8.713089,9.772333,9.772333,446536336
2022-02-28,9.769950,10.518309,9.462666,10.518309,10.518309,439010943
2022-03-01,10.518838,10.790853,10.105807,10.338661,10.338661,352995706
2022-03-02,10.338890,10.537421,9.978786,10.034833,10.034833,269058389
2022-03-03,10.035556,10.100525,9.454420,9.554364,9.554364,193167247
2022-03-04,9.555498,9.558460,8.711924,8.799684,8.799684,206966311
2022-03-05,8.804784,9.120227,8.728647,9.014436,9.014436,147662862
2022-03-06,9.014860,9.061415,8.485179,8.488813,8.488813,173015867
2022-03-07,8.489380,8.773621,8.164778,8.332438,8.332438,214726908
2022-03-08,8.331020,8.844097,8.288792,8.828000,8.828000,219445454
2022-03-09,8.829015,9.430226,8.784043,9.201221,9.201221,263847667
